"A1","A2","A3","A4","A5","C1","C2","C3","C4","C5","E1","E2","E3","E4","E5","N1","N2","N3","N4","N5","O1","O2","O3","O4","O5","gender","education","age","id"
1,6,6,6,6,6,5,6,1,1,2,3,3,6,5,2,2,2,1,1,5,1,4,6,1,2,3,41,"63071"
3,5,3,5,5,6,4,4,2,5,2,2,2,6,4,4,4,3,2,2,6,1,5,6,1,2,3,23,"63073"
1,6,5,6,5,6,5,5,4,2,4,5,4,5,5,3,3,5,4,6,4,5,6,5,4,1,2,24,"63075"
1,5,5,5,6,5,5,5,2,1,6,5,2,5,3,5,5,5,6,5,2,2,5,4,2,2,4,45,"63077"
3,4,5,6,5,4,6,4,1,1,2,2,5,5,6,3,3,3,2,1,6,3,5,4,5,2,3,43,"63081"
2,5,5,6,4,3,4,4,3,3,4,4,4,4,5,4,5,4,4,4,4,5,4,4,3,2,,15,"63083"
1,6,6,4,5,5,4,5,2,1,2,2,5,6,5,1,4,3,4,1,4,1,5,5,2,2,,15,"63084"
2,5,5,3,5,5,6,3,1,6,1,2,4,5,5,5,5,6,5,4,6,1,5,5,2,1,,16,"63089"
5,6,6,4,5,5,5,4,2,3,3,2,5,6,4,1,2,2,2,2,6,1,3,5,2,1,,16,"63090"
5,4,5,1,5,3,5,5,4,2,3,4,4,3,2,4,5,3,5,2,6,2,5,5,1,1,,15,"63092"
3,5,2,,5,4,3,3,3,5,4,4,3,4,2,4,4,2,2,1,5,1,4,5,2,1,,16,"63094"
1,6,5,6,5,4,5,5,1,2,1,2,4,5,4,1,2,2,1,2,5,1,4,5,2,2,4,27,"63096"
1,6,6,6,6,5,6,6,2,1,1,4,6,4,5,6,5,4,5,6,2,4,4,6,2,2,5,37,"63097"
1,5,6,6,1,3,5,5,2,2,2,1,4,6,4,1,1,2,3,3,5,3,4,2,5,2,2,25,"63099"
3,2,4,1,4,5,6,3,2,4,4,3,2,4,5,4,6,5,4,1,3,1,4,2,3,2,,16,"63100"
1,6,4,5,4,5,5,5,1,4,3,3,5,5,5,3,4,2,2,2,4,6,4,5,4,2,3,21,"63102"
5,6,3,2,2,5,6,6,1,2,5,3,4,5,4,2,5,3,3,5,6,1,6,6,5,1,,16,"63103"
4,4,3,3,3,3,3,3,3,4,3,4,3,6,3,3,3,4,3,3,3,3,3,3,3,1,,16,"63104"
2,3,4,4,5,3,2,5,4,6,3,2,4,5,2,2,4,1,2,1,3,3,3,4,3,1,3,27,"63108"
2,6,4,2,5,5,5,5,1,1,5,2,6,4,6,3,3,1,1,,6,4,4,6,1,2,3,27,"63109"
2,4,4,3,5,3,2,3,4,4,4,2,5,5,5,1,1,2,2,1,4,1,3,6,2,1,3,30,"63112"
2,5,5,6,5,5,5,5,5,4,6,4,3,5,2,2,2,2,3,3,6,2,4,6,5,1,3,23,"63115"
5,6,6,6,6,4,5,5,2,1,1,1,5,6,5,1,,2,1,2,4,3,5,4,3,1,3,41,"63116"
2,5,5,3,2,5,4,6,1,4,3,6,2,1,5,6,6,6,3,2,5,1,4,3,2,2,3,26,"63120"
2,6,5,6,5,6,6,6,1,5,2,2,4,5,4,1,4,4,1,2,5,6,3,4,3,2,3,17,"63121"
2,4,4,4,5,3,4,3,3,4,4,4,3,4,4,3,3,3,4,2,5,2,4,5,2,2,3,35,"63122"
3,1,5,6,4,5,6,1,2,1,5,3,5,6,5,1,1,1,1,1,6,4,6,6,1,1,3,18,"63123"
2,4,2,2,3,5,5,5,2,2,4,5,2,3,2,4,5,3,4,4,5,3,4,4,5,1,3,19,"63125"
2,5,6,6,2,5,5,5,1,2,2,5,2,2,5,2,5,6,2,6,4,6,4,6,2,1,2,42,"63127"
2,6,6,6,5,5,5,6,2,2,1,2,5,6,4,2,4,4,2,4,5,2,5,4,2,2,3,19,"63128"
1,6,6,5,5,5,4,5,2,6,1,2,6,6,6,5,6,5,4,6,6,6,5,5,2,2,3,35,"63130"
1,6,,6,6,5,6,5,,1,1,3,6,5,5,1,1,5,1,1,5,1,4,5,2,2,3,52,"63131"
2,5,4,5,5,4,4,5,3,4,3,2,4,5,5,4,3,2,2,2,5,4,4,4,4,1,3,19,"63135"
2,6,5,5,2,4,6,5,2,4,2,6,4,3,5,2,4,5,4,2,4,4,5,5,1,2,3,41,"63136"
1,6,5,6,6,5,5,6,2,2,2,2,5,5,6,4,4,1,1,3,5,3,4,5,2,2,4,23,"63139"
1,6,6,,5,1,6,6,1,1,2,5,4,4,6,5,5,6,4,3,5,1,2,5,1,2,3,42,"63141"
2,5,5,5,5,3,4,5,2,4,2,2,6,6,6,3,2,3,2,2,5,4,5,6,2,1,1,19,"63142"
1,6,6,6,1,4,2,2,2,4,1,1,6,5,6,2,2,2,3,2,6,1,6,5,1,2,3,45,"63146"
1,5,4,5,5,6,5,6,1,1,2,1,5,6,5,3,3,4,2,3,5,1,5,5,2,2,3,44,"63147"
1,3,4,4,4,5,6,4,4,4,6,4,2,3,2,3,2,1,1,2,5,1,4,6,2,1,3,21,"63152"
2,6,5,6,4,5,5,6,2,3,1,2,5,6,5,3,5,2,2,2,5,4,5,3,3,2,1,19,"63154"
3,6,5,4,4,5,5,6,2,4,4,4,3,4,5,4,4,5,4,5,6,4,6,6,2,1,3,18,"63155"
1,1,5,6,6,6,5,2,1,5,4,5,2,5,3,3,4,4,2,3,6,1,6,6,1,1,5,34,"63158"
2,6,4,2,5,,3,3,1,1,5,4,6,3,5,1,1,1,4,1,6,1,5,4,1,1,5,25,"63161"
1,6,5,6,5,6,6,6,1,2,1,2,4,6,6,1,4,1,3,1,6,1,5,6,1,2,5,53,"63163"
1,5,5,6,5,3,4,3,2,2,2,3,3,5,3,3,3,3,3,2,4,2,2,5,2,2,3,36,"63165"
5,4,6,2,4,4,4,4,3,5,5,4,2,4,5,5,6,5,4,5,5,1,5,6,6,1,1,19,"63171"
5,6,6,6,6,6,5,5,1,1,2,3,5,6,6,2,5,4,,4,6,4,5,4,3,2,4,31,"63172"
3,5,5,3,4,4,4,6,2,4,1,3,5,5,6,3,5,4,5,3,6,2,4,6,2,1,5,23,"63173"
1,6,6,5,6,4,5,5,2,2,2,1,3,5,5,1,1,2,2,1,6,4,4,3,2,2,3,19,"63176"
3,4,5,6,2,3,5,4,2,3,3,2,3,5,4,2,3,2,2,5,2,2,3,2,2,2,3,26,"63181"
2,4,4,6,4,4,5,4,2,2,1,2,4,5,4,4,3,5,6,2,2,3,5,5,3,2,2,23,"63182"
3,4,4,6,5,3,3,2,3,4,1,1,3,6,4,2,2,1,1,1,4,3,4,3,2,1,3,25,"63183"
3,3,3,4,5,3,5,5,1,6,1,4,4,5,5,4,3,4,2,4,5,4,4,4,3,2,,17,"63187"
2,5,4,4,3,4,3,4,3,4,3,4,3,3,3,4,4,4,4,2,4,3,3,5,4,2,1,17,"63192"
3,5,2,1,2,5,1,2,2,4,1,2,5,5,6,4,6,3,2,3,5,2,6,5,5,2,1,17,"63193"
4,6,4,2,4,4,4,4,4,4,4,2,3,5,3,4,5,2,2,2,5,1,4,5,3,1,,17,"63194"
2,5,5,2,4,5,5,4,3,4,2,2,4,5,5,5,6,5,5,5,2,3,4,6,2,2,3,16,"63197"
3,6,6,3,4,3,4,6,2,1,6,3,1,4,4,2,1,2,6,6,6,2,6,2,3,1,,17,"63200"
1,5,6,5,5,5,4,4,2,2,2,1,5,6,4,2,3,2,4,1,6,4,4,5,3,1,,17,"63201"
2,4,5,1,5,4,2,2,4,3,2,5,4,4,4,3,4,3,3,4,5,5,3,4,4,1,,17,"63203"
1,5,4,5,5,6,6,2,1,1,,6,2,5,5,4,4,5,6,6,4,2,3,6,4,2,3,20,"63209"
3,4,6,1,2,5,5,2,3,5,1,6,5,4,5,4,5,5,6,2,3,2,5,6,4,2,,17,"63215"
3,4,2,3,4,4,5,3,3,5,2,4,5,5,5,4,4,4,5,2,5,2,5,6,1,1,,17,"63222"
2,5,6,5,4,3,2,2,5,6,2,3,3,6,4,3,3,5,4,3,3,2,3,6,2,1,,16,"63223"
2,5,6,2,4,6,6,6,1,4,3,2,2,5,3,2,4,1,5,5,3,4,2,6,3,2,,17,"63225"
2,4,5,2,3,4,4,4,2,4,1,5,4,4,4,4,4,4,5,4,4,3,4,4,3,2,,17,"63227"
1,5,5,5,5,3,4,3,4,4,1,4,5,4,6,3,3,3,2,4,5,1,4,6,2,1,,17,"63228"
1,5,5,6,4,5,5,3,2,3,5,4,2,2,5,5,2,4,2,4,5,2,5,5,1,2,3,24,"63233"
2,6,6,6,6,5,5,5,3,4,2,1,5,6,6,2,5,3,2,1,5,2,5,5,2,1,3,18,"63237"
1,5,6,2,3,5,3,2,2,4,5,4,4,5,6,2,3,5,5,2,6,4,6,6,2,1,3,22,"63238"
3,6,6,6,6,6,5,6,2,1,1,1,6,6,5,2,2,3,2,2,6,1,5,6,1,2,3,27,"63239"
2,5,5,5,5,4,4,5,2,2,3,2,2,5,2,1,1,2,2,1,2,4,2,4,3,2,3,32,"63242"
1,6,6,6,5,5,6,6,4,3,4,4,5,5,5,4,2,2,3,4,6,4,6,6,1,1,1,34,"63245"
1,6,5,2,4,5,3,5,1,1,1,1,3,6,5,5,4,4,1,1,6,1,6,6,1,2,4,22,"63246"
2,5,5,4,5,5,4,4,2,5,2,4,5,5,3,3,3,3,2,3,4,1,4,3,3,1,5,21,"63250"
1,5,5,6,4,5,5,5,2,2,2,2,2,2,6,5,6,2,4,4,6,1,5,5,2,2,3,24,"63252"
2,6,3,3,3,2,2,4,3,4,4,6,3,2,3,5,5,5,5,4,3,2,4,6,3,2,3,19,"63253"
1,4,6,6,6,4,5,5,2,3,1,4,5,6,,3,3,2,1,1,4,3,6,5,1,2,3,30,"63258"
4,5,5,6,5,4,6,5,2,2,5,2,4,5,5,3,3,3,3,3,6,2,5,6,2,2,3,20,"63261"
3,4,4,2,4,2,2,4,5,6,2,2,4,5,5,6,6,5,5,4,4,4,4,5,3,2,2,19,"63264"
1,5,6,6,4,5,5,4,2,2,5,5,2,3,3,2,4,4,4,5,3,2,4,6,3,2,4,23,"63266"
3,3,4,2,3,3,3,3,3,4,3,4,4,4,2,3,3,2,3,3,3,4,3,4,4,1,1,19,"63271"
1,6,5,5,5,4,4,3,3,5,1,2,5,5,4,2,2,3,2,2,5,2,5,5,1,2,3,21,"63277"
,3,4,3,3,3,3,3,2,3,3,3,2,6,3,4,3,,3,2,4,4,2,4,3,2,,17,"63278"
1,5,5,4,4,4,4,6,3,5,1,1,4,6,5,3,4,4,3,2,6,1,6,6,1,1,3,21,"63280"
1,5,4,5,5,5,5,5,3,3,2,4,6,2,4,4,3,5,2,5,4,2,6,5,2,1,3,25,"63281"
3,4,5,5,4,4,4,4,4,5,2,2,3,6,4,2,3,2,2,3,5,4,4,4,2,2,3,22,"63286"
5,6,6,5,5,5,5,6,1,1,6,1,5,5,6,1,1,1,1,1,6,1,6,5,1,1,3,21,"63287"
1,4,3,5,3,1,5,5,6,6,6,6,2,2,1,5,4,6,6,6,4,6,4,6,1,2,,14,"63289"
4,3,4,4,3,5,4,5,3,3,2,2,4,5,5,4,4,4,3,2,4,3,5,4,3,1,3,21,"63292"
2,5,4,2,4,4,4,4,2,2,2,3,5,4,4,2,3,2,2,3,4,2,5,5,2,2,2,19,"63293"
5,3,4,4,5,4,3,2,4,4,1,1,3,6,4,4,4,2,2,3,3,2,5,3,3,2,,13,"63294"
3,3,5,6,5,3,5,5,2,2,1,2,4,6,6,2,2,5,1,3,5,3,3,3,3,2,2,31,"63301"
1,5,5,2,5,5,5,3,2,4,5,4,4,4,5,2,4,2,3,1,5,2,2,5,2,2,4,34,"63302"
4,5,2,1,4,5,4,5,4,4,5,5,4,5,3,5,5,5,5,5,4,5,5,6,3,2,,15,"63307"
1,5,1,5,6,3,5,5,4,1,1,4,4,5,5,2,5,1,1,1,6,1,6,6,5,2,1,37,"63309"
2,5,5,4,5,5,4,4,4,5,1,2,5,6,5,3,3,1,2,3,4,4,5,4,2,2,5,39,"63313"
1,6,6,6,6,4,4,4,2,3,1,5,6,5,5,5,6,6,4,5,5,2,5,6,2,2,,17,"63317"
1,6,3,4,2,5,6,5,1,1,2,3,4,5,4,4,1,3,2,5,5,2,6,6,1,1,1,16,"63320"
3,5,6,6,5,4,4,3,3,3,2,3,5,6,4,1,4,3,2,2,3,5,4,5,1,1,1,16,"63321"
4,4,2,1,5,6,4,4,2,5,1,4,5,5,4,2,2,1,1,1,6,1,6,6,1,1,,16,"63322"
1,1,1,3,1,1,1,1,6,6,1,6,1,2,1,6,4,5,3,5,1,6,1,2,6,1,,40,"63324"
2,4,3,2,4,3,3,4,2,3,5,2,2,4,4,1,3,6,5,4,5,1,4,6,1,2,,17,"63326"
4,6,6,1,6,6,5,6,1,1,1,3,4,5,5,5,6,5,1,6,5,3,6,5,1,2,1,17,"63328"
3,5,4,3,4,4,4,4,5,5,5,2,3,4,5,5,5,5,4,3,4,6,3,6,2,1,,17,"63330"
1,6,5,5,4,4,2,3,2,2,1,2,5,6,5,2,4,2,1,5,4,4,4,5,3,1,,17,"63331"
4,3,1,1,5,6,6,4,1,1,6,2,6,1,5,4,2,1,2,1,6,1,6,6,1,1,5,74,"63332"
1,6,,6,6,4,5,5,6,4,1,1,5,6,6,4,5,5,2,2,5,1,5,5,2,2,1,17,"63334"
2,5,5,6,5,5,4,4,3,3,2,2,5,5,5,3,,5,3,4,5,1,,4,1,2,3,30,"63335"
5,2,2,2,4,6,6,6,1,1,1,1,5,6,6,2,5,1,1,1,6,1,6,1,1,1,4,48,"63337"
2,5,5,5,2,4,5,4,4,4,2,2,5,5,4,4,5,1,3,4,5,3,5,5,2,2,3,32,"63338"
2,5,5,2,5,6,5,5,1,2,3,2,5,5,6,1,1,4,4,1,6,1,5,6,1,2,4,44,"63339"
2,6,6,6,6,6,6,5,1,3,1,1,5,6,5,2,2,2,4,6,5,2,4,2,4,2,3,40,"63340"
2,5,5,5,5,5,5,4,3,2,1,2,6,5,5,2,3,3,2,3,5,3,5,4,2,2,4,23,"63342"
1,6,3,5,6,5,5,6,1,4,1,1,4,6,5,4,4,4,2,2,5,2,6,4,4,2,3,40,"63346"
1,6,6,6,6,5,5,4,2,2,2,2,3,6,5,2,2,2,1,2,5,2,4,5,2,2,3,39,"63351"
6,5,5,4,5,4,2,4,3,5,2,3,5,5,4,4,4,5,4,5,4,2,5,6,1,1,,17,"63352"
4,4,3,5,4,4,5,2,4,5,4,4,3,4,2,6,5,5,5,5,3,6,2,5,4,2,3,25,"63358"
3,5,5,6,5,3,5,4,2,2,3,4,4,3,4,1,2,1,1,1,4,2,4,5,2,2,1,24,"63361"
2,5,5,4,5,3,3,4,3,4,1,1,5,6,2,4,2,1,1,4,4,2,4,4,3,1,,14,"63364"
2,5,5,5,,4,5,5,5,6,1,2,4,6,3,6,5,3,5,6,3,2,5,3,3,2,3,26,"63369"
2,6,4,4,4,4,4,5,1,2,1,3,4,4,6,4,3,1,1,1,5,1,4,3,1,1,4,34,"63370"
4,5,4,2,5,3,4,4,3,5,3,4,4,6,4,3,5,4,3,4,5,2,5,4,2,2,3,20,"63371"
2,5,2,4,6,4,1,2,5,5,1,3,2,5,2,2,2,5,6,6,5,1,5,6,1,2,3,63,"63372"
2,6,4,3,5,3,3,4,4,4,2,2,5,6,5,,2,2,3,3,5,2,5,5,3,2,1,18,"63375"
1,6,6,6,6,4,6,5,2,2,1,1,6,6,6,1,4,4,4,4,6,1,6,6,1,2,5,28,"63376"
2,5,6,6,5,5,5,5,2,,1,1,4,6,5,1,2,4,2,1,4,1,5,5,4,2,2,48,"63378"
5,5,4,6,4,6,5,5,2,4,3,4,3,6,4,3,4,5,5,2,4,5,2,5,2,2,3,39,"63379"
3,5,5,5,5,5,5,5,2,2,2,1,5,6,6,1,1,2,1,1,6,3,5,5,2,1,4,35,"63382"
5,5,5,4,5,5,4,4,2,3,3,5,5,5,,2,4,2,2,1,5,4,4,4,4,2,2,46,"63383"
2,5,5,4,2,4,4,5,1,4,2,4,3,4,4,1,1,2,4,2,5,1,5,5,1,1,3,20,"63386"
1,5,5,6,5,5,6,6,1,2,5,2,2,5,5,2,2,1,1,2,5,6,2,2,4,2,3,23,"63389"
2,2,5,5,4,5,,5,1,1,1,2,3,5,5,3,2,4,4,1,5,1,5,5,2,2,3,39,"63395"
1,6,6,6,1,5,2,5,2,4,2,4,4,6,4,1,1,1,1,2,5,3,1,2,3,2,2,42,"63399"
2,5,5,6,5,4,5,6,,1,2,2,4,4,6,4,4,4,1,4,4,6,4,4,4,1,3,26,"63400"
1,5,5,6,4,4,4,4,5,6,1,3,3,2,4,6,6,4,6,3,5,5,5,6,2,2,3,19,"63402"
5,4,2,4,5,5,6,5,2,4,2,5,4,5,4,2,5,5,5,5,5,4,3,,2,1,1,38,"63404"
2,4,6,1,4,6,3,4,3,5,1,1,3,1,6,6,4,1,4,6,1,1,6,6,2,2,3,22,"63406"
3,5,5,5,6,4,4,6,3,3,2,2,5,6,6,2,2,3,3,3,5,4,5,6,3,2,3,23,"63408"
2,6,6,6,6,5,5,6,2,1,2,1,6,6,5,2,3,2,2,4,6,4,5,6,3,2,3,24,"63412"
1,6,6,6,5,6,6,5,1,1,2,3,5,5,5,2,5,6,2,6,5,2,5,5,1,2,4,25,"63413"
4,6,4,6,4,5,5,4,5,6,1,1,2,5,4,5,6,6,6,6,1,6,2,5,6,2,3,21,"63414"
3,5,5,5,2,5,3,5,2,5,4,2,4,1,5,3,4,5,4,4,4,1,2,4,3,2,4,39,"63420"
3,5,5,5,5,5,2,5,2,2,2,2,5,5,5,2,1,2,2,2,3,1,3,3,2,1,5,31,"63421"
3,4,4,4,2,5,4,5,2,2,2,2,4,6,4,5,5,3,4,1,4,4,4,6,4,1,1,18,"63427"
6,3,2,4,4,6,6,6,1,2,4,4,5,6,5,1,4,1,1,1,6,2,6,6,1,1,3,20,"63428"
6,2,1,4,4,6,6,6,1,1,4,4,5,5,5,1,3,1,1,1,6,2,6,4,1,1,3,20,"63430"
3,4,5,4,6,4,3,4,4,4,4,3,5,5,4,3,5,2,2,2,6,3,5,,4,1,2,23,"63431"
3,5,5,5,5,5,5,5,2,4,5,6,4,5,3,1,1,1,1,2,5,2,4,5,3,1,4,24,"63432"
4,4,5,4,6,2,2,2,4,6,1,2,4,5,3,1,1,3,4,3,5,4,3,3,2,2,,57,"63435"
4,2,5,1,5,2,1,1,4,6,1,1,5,5,1,1,2,4,5,1,6,2,5,,2,1,3,20,"63437"
1,6,6,5,6,4,4,5,3,3,2,3,5,5,5,1,4,3,4,5,4,1,5,6,3,1,3,22,"63438"
2,5,5,6,4,4,4,4,4,4,2,4,4,4,5,4,4,5,4,3,4,1,5,6,3,2,3,21,"63439"
2,5,4,4,5,3,3,5,5,5,5,5,3,5,4,3,2,2,6,5,3,5,3,5,4,2,4,23,"63441"
3,5,5,5,5,4,4,5,3,,2,2,4,5,4,1,3,3,1,2,5,4,4,4,3,2,3,22,"63442"
1,5,4,6,5,4,4,5,3,5,3,5,5,5,4,6,6,5,5,5,5,3,5,6,5,2,3,20,"63444"
1,5,1,6,6,4,6,4,4,5,,2,5,6,5,4,5,5,4,6,6,2,5,6,2,2,3,31,"63445"
2,5,5,2,4,2,3,2,4,5,4,4,4,3,2,4,5,6,6,5,4,4,5,6,2,1,2,48,"63446"
1,6,6,4,5,6,4,6,1,2,1,2,3,5,4,1,4,4,2,1,5,2,3,4,4,2,5,29,"63448"
2,5,5,5,3,5,5,4,3,4,5,4,1,2,5,4,5,5,2,2,6,5,3,6,2,2,3,23,"63450"
1,6,6,5,5,6,5,4,1,2,2,1,5,5,4,3,3,3,3,4,4,1,6,4,1,2,1,34,"63452"
5,5,4,5,5,4,4,4,2,4,1,2,5,5,5,2,3,2,1,1,5,2,4,4,2,1,3,21,"63454"
4,6,5,5,6,5,6,6,2,4,5,4,4,5,6,5,5,4,6,4,6,5,5,5,5,2,3,27,"63455"
1,4,2,3,4,2,2,4,3,5,5,4,4,4,1,1,1,1,1,1,2,4,2,3,5,2,4,28,"63458"
1,,4,6,3,6,6,2,2,4,1,5,6,6,5,1,2,2,5,3,6,2,5,6,1,1,3,19,"63459"
1,4,3,6,3,3,1,2,4,6,1,3,4,6,4,5,6,4,5,5,6,6,2,2,3,2,1,16,"63463"
1,4,5,6,6,6,5,5,1,2,5,2,4,6,5,4,4,2,3,1,4,4,4,5,3,1,4,41,"63464"
2,6,5,5,5,4,1,5,4,6,1,5,6,4,4,5,6,6,5,4,5,1,6,6,1,2,2,34,"63465"
1,6,6,6,6,6,5,5,1,1,1,1,5,5,6,1,1,1,1,1,6,2,5,2,1,1,4,32,"63466"
6,6,6,6,6,6,5,1,1,1,6,6,1,6,6,1,6,1,6,1,6,6,1,6,1,1,1,31,"63467"
3,5,3,4,2,5,5,4,2,5,3,2,3,2,5,5,4,3,2,2,6,1,6,6,1,2,3,22,"63468"
4,6,6,6,6,6,6,6,4,1,1,3,6,5,5,1,4,5,5,6,5,5,5,6,5,2,3,31,"63470"
6,2,4,1,5,5,5,5,2,4,2,4,3,5,5,6,6,6,5,4,4,2,3,5,1,2,,33,"63472"
1,5,4,4,4,3,2,5,4,5,5,6,3,2,1,1,1,4,6,1,4,1,4,6,4,1,2,35,"63473"
3,5,5,6,5,5,5,6,2,3,2,4,3,6,4,3,2,3,2,1,4,3,4,5,3,2,2,48,"63476"
1,2,5,6,5,3,4,5,1,1,2,2,5,5,5,1,1,2,4,2,5,1,5,5,2,1,5,34,"63479"
1,6,6,4,5,5,6,5,2,4,2,2,4,4,6,2,2,5,4,1,6,1,5,6,1,2,5,31,"63480"
2,4,4,4,5,4,4,2,2,4,4,5,2,5,4,1,4,1,2,1,5,1,5,5,3,1,4,32,"63481"
2,4,3,4,3,2,3,5,4,5,5,5,1,3,4,5,5,5,6,5,5,2,5,6,6,2,3,20,"63485"
5,4,5,4,4,4,6,4,2,3,1,2,5,4,6,1,4,1,1,1,5,1,5,5,1,2,3,19,"63486"
1,5,5,6,5,5,5,2,2,2,4,2,4,5,5,2,4,2,2,1,1,4,5,5,3,2,5,50,"63488"
6,6,6,6,6,6,6,6,1,1,4,1,5,6,5,1,4,5,5,6,4,4,5,6,6,2,3,35,"63491"
4,6,5,6,5,3,3,2,3,6,6,6,6,1,3,1,2,4,5,1,3,6,4,6,4,2,2,23,"63493"
4,3,3,4,3,5,5,4,3,5,5,4,2,3,3,3,3,2,3,3,5,1,5,6,2,1,1,18,"63494"
2,5,5,6,5,3,5,5,2,1,2,2,5,6,5,2,3,2,1,1,5,5,4,3,2,2,1,21,"63496"
2,5,5,6,5,4,3,3,2,3,5,4,4,5,2,4,4,4,3,3,6,2,4,6,2,2,3,20,"63498"
1,6,5,4,6,4,2,4,4,5,2,2,5,4,5,4,4,4,4,4,6,2,4,4,4,1,5,54,"63499"
4,3,6,4,6,2,5,6,1,1,5,2,6,1,2,3,3,1,4,3,4,6,4,6,3,2,3,51,"63501"
3,4,4,6,4,3,4,4,4,1,1,4,4,4,5,1,4,1,2,4,6,4,4,1,1,2,2,20,"63502"
1,6,4,4,4,6,2,5,2,1,6,5,1,4,1,1,6,5,4,6,2,6,1,6,1,2,1,38,"63504"
1,5,5,1,6,6,5,5,1,6,2,1,5,5,6,1,1,5,5,6,4,5,5,5,4,2,4,53,"63505"
2,4,2,2,3,5,5,5,3,5,4,4,2,5,5,5,5,5,5,3,5,3,4,6,2,2,,17,"63509"
6,6,1,3,5,6,6,6,1,1,3,1,2,2,6,1,2,2,3,1,6,1,4,1,3,2,1,33,"63510"
5,4,1,2,2,5,5,4,4,6,6,4,3,2,2,4,5,2,5,5,6,2,4,6,6,2,3,17,"63512"
3,4,4,2,3,3,2,3,4,5,4,4,6,2,3,2,3,5,5,2,6,1,5,6,2,2,,15,"63513"
2,6,6,6,6,6,6,6,2,5,4,3,5,6,5,3,3,2,4,3,6,1,5,5,1,2,2,38,"63516"
5,6,6,6,3,5,6,1,6,6,6,6,6,3,6,6,6,5,6,6,6,4,6,6,1,2,,13,"63518"
1,6,4,4,5,3,6,3,2,2,2,2,5,5,5,3,4,2,1,2,4,2,5,6,2,2,5,34,"63521"
3,4,4,2,4,5,4,4,4,2,6,5,4,3,3,3,4,1,1,1,4,3,3,4,1,1,,14,"63525"
1,4,2,5,2,1,2,1,2,4,6,6,1,2,1,2,3,4,5,5,3,2,1,5,3,2,1,20,"63528"
3,5,4,6,4,5,6,5,1,2,1,4,5,5,6,6,6,5,1,2,6,2,5,6,1,2,4,27,"63530"
2,6,5,2,5,5,2,4,1,3,1,1,5,6,5,3,2,1,2,1,4,3,3,4,2,2,2,42,"63531"
2,3,4,2,5,5,6,5,1,6,3,5,1,5,4,1,5,1,1,1,5,1,6,6,2,2,1,18,"63533"
4,5,5,5,3,4,4,4,3,5,3,4,4,3,,4,5,4,3,4,3,5,4,6,2,2,3,20,"63534"
1,6,6,3,5,6,4,6,1,3,3,2,,5,6,3,2,2,5,1,6,1,5,6,1,2,5,56,"63536"
2,5,5,4,5,5,5,5,1,4,3,3,5,5,5,3,3,2,2,3,,4,4,4,5,1,3,20,"63538"
2,4,5,4,4,5,5,2,1,1,5,4,5,3,4,2,4,4,3,3,5,1,4,6,2,1,,37,"63547"
1,,5,2,4,5,6,4,,2,4,4,5,2,5,2,2,3,5,5,5,6,4,3,4,2,,15,"63549"
2,6,5,4,6,4,3,4,4,6,4,5,5,5,3,4,5,5,6,6,6,4,4,6,2,2,1,20,"63551"
4,5,4,6,4,4,5,5,3,6,1,1,4,6,4,3,4,3,1,4,3,3,4,2,3,2,3,19,"63554"
1,6,5,4,5,5,4,5,3,5,4,3,4,5,4,2,4,2,2,5,4,4,6,6,3,1,3,20,"63555"
1,3,5,6,6,3,5,4,2,5,2,2,4,6,3,2,3,2,2,4,5,4,4,5,3,2,3,19,"63556"
3,5,5,6,6,5,5,6,3,4,2,1,6,5,6,1,2,2,1,1,6,2,6,6,1,1,3,20,"63557"
5,6,6,5,4,4,3,6,4,3,2,1,6,6,4,3,2,3,4,2,4,5,4,4,3,2,1,43,"63558"
1,6,6,6,5,5,5,6,1,1,2,2,4,4,5,1,2,1,2,1,6,1,5,6,1,2,5,43,"63559"
1,5,3,4,3,6,6,6,1,4,6,6,3,1,2,4,5,5,,2,4,1,6,6,1,2,4,26,"63560"
2,4,5,4,5,3,4,4,5,6,5,3,3,5,2,4,4,4,5,3,4,4,3,5,4,2,,18,"63562"
2,3,3,5,3,2,3,3,3,5,2,5,5,4,2,5,5,5,5,4,5,2,5,6,1,1,4,24,"63567"
2,5,5,2,5,4,4,3,4,5,3,2,2,4,3,1,2,4,4,2,5,3,6,6,2,2,3,20,"63575"
1,5,6,6,6,5,4,5,2,4,1,2,5,6,4,2,3,2,5,2,6,1,6,6,1,2,2,23,"63578"
2,4,5,5,4,6,6,5,1,3,2,1,2,6,5,4,3,2,2,2,6,1,5,5,5,2,3,25,"63579"
1,4,4,5,4,3,4,3,5,4,1,2,5,5,4,5,3,4,4,4,6,4,4,4,5,2,4,25,"63580"
2,5,5,4,4,5,5,5,1,3,1,2,5,6,5,2,4,2,2,2,6,1,6,6,1,1,5,37,"63581"
1,4,4,5,3,2,5,5,2,6,2,2,1,2,5,5,5,5,5,1,2,2,5,5,2,1,5,51,"63582"
2,4,6,6,6,6,6,3,1,1,5,4,3,5,4,2,2,4,5,2,6,2,5,6,1,2,3,36,"63583"
3,4,5,4,4,,4,4,3,5,2,4,4,5,4,3,3,3,2,3,4,5,3,4,4,1,3,21,"63584"
2,5,5,5,4,5,5,5,2,4,2,4,4,4,5,2,2,2,1,3,6,1,5,6,1,1,5,56,"63586"
2,5,6,6,6,5,5,4,4,2,2,2,6,5,5,6,6,6,4,2,5,2,4,6,3,1,3,19,"63587"
